ID,First Name,Last Name,Team,Position,Assists,bonus,Total points,xA,CS,Gc,Goals Scored,minutes,red_cards,starts,xG,xGi,xGc,code,PpG
179,Mykhailo,Mudryk,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,465920,0.0
180,Nicolas,Jackson,6,4,0,0,2,0.06,0,1,0,65,0,1,0.47,0.53,0.66,517052,2.0
181,Christopher,Nkunku,6,3,0,0,1,0.06,0,1,0,57,0,1,0.15,0.21,0.66,213198,1.0
182,Cole,Palmer,6,3,0,0,2,0.19,0,2,0,90,0,1,0.07,0.26,0.77,244851,2.0
183,Đorđe,Petrović,6,1,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,457569,0.0
184,Renato,Palma Veiga,6,3,0,0,1,0.00,0,1,0,10,0,0,0.00,0.00,0.08,551230,1.0
185,Robert,Sánchez,6,1,0,0,2,0.00,0,2,0,90,0,1,0.00,0.00,0.77,215059,2.0
186,Raheem,Sterling,6,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,103955,0.0
187,Tosin,Adarabioyo,6,2,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,109646,0.0
188,Lesley,Ugochukwu,17,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,503714,0.0
189,Wesley,Fofana,6,2,0,0,1,0.01,0,2,0,90,0,1,0.04,0.05,0.77,444463,1.0
190,Naouirou,Ahamada,7,3,0,0,0,0.00,0,0,0,0,0,0,0.00,0.00,0.00,466117,0.0
191,Joachim,Andersen,7,2,0,0,0,0.02,0,2,0,90,0,1,0.04,0.06,1.59,174874,0.0
192,Jordan,Ayew,7,3,0,0,0,0.01,0,1,0,20,0,0,0.46,0.47,0.95,80146,0.0
193,Cheick,Doucouré,7,3,0,0,1,0.00,0,0,0,6,0,0,0.00,0.00,0.00,438464,1.0
194,Chris,Richards,7,2,0,0,0,0.01,0,2,0,83,0,1,0.00,0.01,1.59,427623,0.0
