ID_x,First Name_x,Last Name_x,Team,Position,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,total_points,in_dreamteam,gameweek,team_position,team_id,ID_y,First Name_y,Last Name_y,short_name,waiver_pick,Team Name
58,Ollie,Watkins,2,4,83,2,0,0,2,0,0,0,0,0,0,3,52,66.2,15.3,89.0,17.1,1,1.18,0.07,1.25,0.81,13,True,4,11.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
91,Mark,Flekken,4,1,90,0,0,0,2,0,0,0,0,0,5,0,16,40.2,0.0,0.0,4.0,1,0.0,0.01,0.01,2.17,2,False,4,12.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
99,Bryan,Mbeumo,4,3,90,0,0,0,2,0,0,0,0,0,0,0,12,9.4,49.1,11.0,7.0,1,0.19,0.35,0.54,2.17,2,False,4,7.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
199,Eberechi,Eze,7,3,90,0,0,0,2,0,0,0,0,0,0,0,17,11.6,49.7,22.0,8.3,1,0.46,0.34,0.8,1.23,2,False,4,8.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
211,Daniel,Muñoz,7,2,80,0,0,0,2,0,0,0,0,0,0,0,4,19.6,25.2,14.0,5.9,1,0.15,0.02,0.17,1.22,1,False,4,15.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
251,Rodrigo,Muniz Carvalho,9,4,17,0,0,0,1,0,0,0,0,0,0,0,2,0.2,0.1,2.0,0.2,0,0.0,0.0,0.0,0.33,1,False,4,10.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
316,Darwin,Núñez Ribeiro,12,4,30,0,0,0,1,0,0,0,0,0,0,0,5,4.2,10.6,0.0,1.5,0,0.0,0.0,0.0,0.3,1,False,4,9.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
380,Lisandro,Martínez,14,2,76,0,0,1,0,0,0,0,0,0,0,0,34,17.0,0.7,0.0,1.8,1,0.0,0.0,0.0,1.12,6,False,4,3.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
383,André,Onana,14,1,90,0,0,1,0,0,1,0,0,0,3,1,38,49.8,0.0,0.0,5.0,1,0.0,0.0,0.0,1.12,13,False,4,1.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
395,Dan,Burn,15,2,90,0,0,0,1,0,0,0,1,0,0,0,11,14.6,0.7,8.0,2.3,1,0.05,0.02,0.07,0.99,1,False,4,14.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
433,Morgan,Gibbs-White,16,3,80,0,0,1,0,0,0,0,0,0,0,0,6,7.4,23.6,1.0,3.2,1,0.02,0.05,0.07,0.85,3,False,4,13.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
514,Jarrod,Bowen,19,3,90,0,1,0,1,0,0,0,0,0,0,0,14,33.8,23.5,27.0,8.4,1,0.28,0.09,0.37,1.54,5,False,4,6.0,319681,322369,Bernardo,Moura,BM,5,Jurojocav2
9,Gabriel,Martinelli Silva,1,3,86,0,1,0,1,0,0,0,0,0,0,0,18,25.2,25.0,4.0,5.4,1,0.0,0.06,0.06,1.48,5,False,5,7.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
47,Emiliano,Martínez Romero,2,1,90,0,0,0,1,0,0,0,0,0,3,0,11,29.6,0.0,0.0,3.0,1,0.0,0.0,0.0,0.51,3,False,5,1.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
52,Pau,Torres,2,2,90,0,0,0,1,0,0,0,1,0,0,0,6,7.0,2.8,0.0,1.0,1,0.0,0.02,0.02,0.51,1,False,5,4.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
54,Morgan,Rogers,2,3,90,0,2,0,1,0,0,0,1,0,0,3,34,42.2,35.3,16.0,9.4,1,0.0,0.6,0.6,0.51,10,True,5,9.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
82,Dominic,Solanke-Mitchell,18,4,87,1,0,0,1,0,0,0,0,0,0,0,26,39.0,4.8,55.0,9.9,1,1.61,0.07,1.68,0.8,6,False,5,11.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
129,João Pedro,Junqueira de Jesus,5,4,19,0,0,0,0,0,0,0,0,0,0,0,3,1.4,1.0,4.0,0.6,0,0.02,0.0,0.02,0.0,1,False,5,10.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
182,Cole,Palmer,6,3,63,1,0,1,0,0,0,0,0,0,0,0,27,35.6,16.4,21.0,7.3,1,0.42,0.0,0.42,0.57,8,False,5,8.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
255,Antonee,Robinson,9,2,90,0,0,0,1,0,0,0,0,0,0,0,6,10.4,16.2,4.0,3.1,1,0.07,0.02,0.09,1.54,2,False,5,14.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
317,Diogo,Teixeira da Silva,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,13.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
350,Joško,Gvardiol,13,2,90,0,0,0,2,0,0,0,0,0,0,0,13,19.6,15.5,40.0,7.5,1,0.08,0.09,0.17,0.65,1,False,5,2.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
361,Rúben,Gato Alves Dias,13,2,90,0,0,0,2,0,0,0,1,0,0,0,5,17.0,33.7,20.0,7.1,1,0.21,0.34,0.55,0.65,0,False,5,3.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
401,Alexander,Isak,15,4,90,0,0,0,3,0,0,0,0,0,0,0,5,9.6,12.8,11.0,3.3,1,0.09,0.02,0.11,2.29,2,False,5,15.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
413,Nick,Pope,15,1,90,0,0,0,3,0,0,0,0,0,8,0,9,53.0,0.0,0.0,5.3,1,0.0,0.0,0.0,2.29,3,False,5,12.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
503,Son,Heung-min,18,3,90,0,2,0,1,0,0,0,0,0,0,2,43,49.4,77.0,21.0,14.7,1,0.07,0.45,0.52,0.8,10,False,5,6.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
505,Destiny,Udogie,18,2,90,0,0,0,1,0,0,0,0,0,0,0,10,28.4,16.1,17.0,6.2,1,0.05,0.04,0.09,0.8,2,False,5,5.0,295362,297743,Lourenço,Marvão,LM,3,Los Porro Hermanos
18,William,Saliba,1,2,90,0,0,0,2,0,0,0,0,0,0,0,7,24.2,0.3,0.0,2.5,1,0.0,0.0,0.0,2.16,1,False,5,15.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
78,Antoine,Semenyo,3,3,69,0,0,0,3,0,0,0,0,0,0,0,9,8.6,3.2,39.0,5.1,1,0.35,0.01,0.36,1.65,2,False,5,7.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
83,Marcus,Tavernier,3,3,90,0,0,0,3,0,0,0,0,0,0,0,17,16.0,41.8,2.0,6.0,1,0.02,0.07,0.09,2.06,2,False,5,13.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
120,Lewis,Dunk,5,2,90,0,0,0,2,0,0,0,1,0,0,0,5,13.4,5.1,0.0,1.9,1,0.0,0.03,0.03,1.53,0,False,5,2.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
148,Danny,Welbeck,5,4,90,1,0,0,2,0,0,0,1,0,0,1,28,40.4,16.0,39.0,9.5,1,0.37,0.06,0.43,1.53,6,False,5,10.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
177,Noni,Madueke,6,3,90,0,0,1,0,0,0,0,0,0,0,0,12,9.6,16.4,31.0,5.7,1,0.16,0.01,0.17,0.85,3,False,5,5.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
207,Jean-Philippe,Mateta,7,4,45,0,0,0,0,0,0,0,0,0,0,0,3,2.0,10.4,2.0,1.4,1,0.0,0.0,0.0,1.42,1,False,5,11.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
248,Bernd,Leno,9,1,90,0,0,0,1,0,0,0,1,0,4,0,8,26.2,0.0,0.0,2.6,1,0.0,0.0,0.0,1.54,2,False,5,12.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
306,Jamie,Vardy,11,4,82,0,0,0,1,0,0,0,0,0,0,0,5,0.0,1.2,8.0,0.8,1,0.0,0.01,0.01,1.02,2,False,5,9.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
328,Mohamed,Salah,12,3,90,0,1,1,0,0,0,0,0,0,0,0,31,42.0,68.3,90.0,20.0,1,0.61,0.17,0.78,1.08,6,False,5,6.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
339,Virgil,van Dijk,12,2,90,0,0,1,0,0,0,0,0,0,0,0,28,18.6,0.7,0.0,1.9,1,0.0,0.0,0.0,1.08,6,False,5,3.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
342,Bernardo,Veiga de Carvalho e Silva,13,3,90,0,0,0,2,0,0,0,1,0,0,0,10,10.4,58.4,20.0,8.9,1,0.06,0.25,0.31,0.65,1,False,5,8.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
347,Ederson,Santana de Moraes,13,1,90,0,0,0,2,0,0,0,1,0,1,0,-2,11.0,0.0,0.0,1.1,1,0.0,0.0,0.0,0.65,0,False,5,1.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
355,Rico,Lewis,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,14.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
422,Ola,Aina,16,2,90,0,0,0,2,0,0,0,1,0,0,0,-5,17.2,0.5,0.0,1.8,1,0.0,0.0,0.0,0.94,0,False,5,4.0,302714,305243,Clev,Clevinson Rodriguez,CC,2,Eze Come Eze Go
3,Gabriel,dos Santos Magalhães,1,2,90,1,0,0,2,0,0,0,0,0,0,0,15,56.6,0.8,40.0,9.7,1,0.49,0.01,0.5,2.16,7,False,5,14.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
4,Kai,Havertz,1,4,90,0,0,0,2,0,0,0,0,0,0,0,8,15.0,0.0,17.0,3.2,1,0.06,0.0,0.06,2.16,2,False,5,9.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
268,Liam,Delap,10,4,72,0,0,0,1,0,0,0,1,0,0,0,6,0.0,0.8,4.0,0.4,1,0.05,0.03,0.08,2.13,1,False,5,11.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
310,Alisson,Ramses Becker,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,12.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
311,Trent,Alexander-Arnold,12,2,90,0,1,1,0,0,0,0,0,0,0,2,39,35.2,26.0,2.0,6.3,1,0.0,0.13,0.13,1.08,11,True,5,2.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
326,Ibrahima,Konaté,12,2,90,0,1,1,0,0,0,0,1,0,0,0,36,48.6,11.2,0.0,6.0,1,0.0,0.03,0.03,1.08,8,False,5,3.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
327,Luis,Díaz,12,3,71,2,0,1,0,0,0,0,0,0,0,3,59,78.6,15.8,60.0,15.4,1,0.59,0.09,0.68,0.54,16,True,5,7.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
340,Manuel,Akanji,13,2,90,0,0,0,2,0,0,0,0,0,0,0,13,28.6,62.2,8.0,9.9,1,0.03,0.31,0.34,0.65,1,False,5,15.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
345,Kevin,De Bruyne,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,False,5,13.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
348,Phil,Foden,13,3,20,0,0,0,0,0,0,0,0,0,0,0,3,1.4,14.9,14.0,3.0,0,0.07,0.24,0.31,0.06,1,False,5,5.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
366,Bruno,Borges Fernandes,14,3,90,0,0,1,0,0,0,0,0,0,0,0,12,13.8,40.0,15.0,6.9,1,0.36,0.14,0.5,1.01,3,False,5,6.0,307954,310584,Tiago,Duarte,TD,4,Avengers Assemble
